goos: linux
goarch: amd64
pkg: go.opentelemetry.io/otel/sdk/metric/internal/aggregate
cpu: Intel(R) Core(TM) i7-8550U CPU @ 1.80GHz
BenchmarkSum/Int64/Cumulative/1/Measure-8         	12832801	        84.19 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Int64/Cumulative/1/Measure-8         	13738166	        84.33 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Int64/Cumulative/1/Measure-8         	14909516	        84.81 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Int64/Cumulative/1/Measure-8         	14371771	        84.26 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Int64/Cumulative/1/Measure-8         	14037006	        87.30 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Int64/Cumulative/1/Measure-8         	14160303	        84.69 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Int64/Cumulative/1/Measure-8         	14000491	        84.83 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Int64/Cumulative/1/Measure-8         	14017932	        86.88 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Int64/Cumulative/1/Measure-8         	14086557	        85.51 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Int64/Cumulative/1/Measure-8         	13918137	        84.29 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Int64/Cumulative/1/ComputeAggregation-8         	 5236875	       198.7 ns/op	      64 B/op	       2 allocs/op
BenchmarkSum/Int64/Cumulative/1/ComputeAggregation-8         	 5373666	       233.2 ns/op	      64 B/op	       2 allocs/op
BenchmarkSum/Int64/Cumulative/1/ComputeAggregation-8         	 5249028	       203.7 ns/op	      64 B/op	       2 allocs/op
BenchmarkSum/Int64/Cumulative/1/ComputeAggregation-8         	 4997298	       208.6 ns/op	      64 B/op	       2 allocs/op
BenchmarkSum/Int64/Cumulative/1/ComputeAggregation-8         	 5309054	       206.5 ns/op	      64 B/op	       2 allocs/op
BenchmarkSum/Int64/Cumulative/1/ComputeAggregation-8         	 5225592	       213.7 ns/op	      64 B/op	       2 allocs/op
BenchmarkSum/Int64/Cumulative/1/ComputeAggregation-8         	 5210971	       272.5 ns/op	      64 B/op	       2 allocs/op
BenchmarkSum/Int64/Cumulative/1/ComputeAggregation-8         	 4688874	       241.2 ns/op	      64 B/op	       2 allocs/op
BenchmarkSum/Int64/Cumulative/1/ComputeAggregation-8         	 4455781	       243.3 ns/op	      64 B/op	       2 allocs/op
BenchmarkSum/Int64/Cumulative/1/ComputeAggregation-8         	 4731162	       245.5 ns/op	      64 B/op	       2 allocs/op
BenchmarkSum/Int64/Cumulative/10/Measure-8                   	 1199733	      1043 ns/op	       0 B/op	       0 allocs/op
