goos: linux
goarch: amd64
pkg: go.opentelemetry.io/otel/sdk/metric/internal/aggregate
cpu: Intel(R) Core(TM) i7-8550U CPU @ 1.80GHz
BenchmarkSum/Int64/Cumulative/1/Measure-8         	12132796	        93.97 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Int64/Cumulative/1/Measure-8         	12833452	        98.52 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Int64/Cumulative/1/Measure-8         	13292923	        97.89 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Int64/Cumulative/1/Measure-8         	12242515	        92.63 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Int64/Cumulative/1/Measure-8         	12898480	        92.66 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Int64/Cumulative/1/Measure-8         	12946058	       101.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Int64/Cumulative/1/Measure-8         	13837212	        93.17 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Int64/Cumulative/1/Measure-8         	13387345	       101.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Int64/Cumulative/1/Measure-8         	13520461	        96.91 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Int64/Cumulative/1/Measure-8         	13553054	       101.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkSum/Int64/Cumulative/1/ComputeAggregation-8         	 4352331	       266.0 ns/op	     128 B/op	       2 allocs/op
BenchmarkSum/Int64/Cumulative/1/ComputeAggregation-8         	 4209757	       285.0 ns/op	     128 B/op	       2 allocs/op
BenchmarkSum/Int64/Cumulative/1/ComputeAggregation-8         	 4626202	       259.6 ns/op	     128 B/op	       2 allocs/op
BenchmarkSum/Int64/Cumulative/1/ComputeAggregation-8         	 4487704	       254.4 ns/op	     128 B/op	       2 allocs/op
BenchmarkSum/Int64/Cumulative/1/ComputeAggregation-8         	 4352427	       260.6 ns/op	     128 B/op	       2 allocs/op
